item_name,account_name
Services,Services
Hours,Services
Adoption,
Dog,Sales of Product Revenue
Square Software Fees,Square Fees
Square Shipping,Shipping Income
Square Item,Sales of Product Income
Square Tips Item,Tips
Sales Tax Item,Square Sales Tax Payable
Square Discount,Discount Income
Square Fees Item,Square Fees
Square Gift Card Item,Gift Card Outstanding
Chargeback,Sales of Product Income
Donation,
Donation ( 15 ),
BetterUnite Donation,Donations directed by individuals
Animal Adoption,Services
Reclaim Fee,Services
Walk In Donations,Services
Feline Owner Surrender,Services
shirts,Services
Donation in Memorial,Services
Celebrity Server 2024,Services
Surrender fee - Dog,Services
car and critters,Services
raffle ticket 2025,Services
