txn_date,account_name,payee_name,description,amount
2026-08-31,Salaries & Wages-1,,Rebalance unclassified gross wages from Intuit Payroll check runs,309612.53
2026-08-31,Payroll Taxes,,Rebalance unclassified employer taxes from Intuit Payroll check runs,29231.05
2026-09-04,Directors & Officers Insurance,UIS INSURANCE,,913.0
2026-07-22,Primary Care & Wellness,Huff Veterinary Services,"HUFF VETERINARY SERVIC BOWLING GREEN OH (ref 3313, posted 2026-07-23)",445.5
2026-05-29,Promotional Items,Step Screen Printing,"PY *STEP.SCREEN PRINTI MONROE MI (ref 2615, posted 2026-06-01)",445.32
2026-04-06,Retail Partner Rebates,Elan Cardmember Services,April 2026 Statement Cashback & Rebate Credit,424.64
2026-09-03,Personnel & Staffing,INTUIT,INTUIT 76141949/TAX HUMANE SOCIE INTUIT 76141949/TAX HUMANE SOCIETY OF MONR,349.0
2026-01-05,Software & Apps,HUMANE SOCIETY OF MONROE COUNTY,,282.0
2026-09-08,animal care,HERITAGE ANIMAL HOSPITAL,Heritage Animal Hospit Dundee Mi,265.2
2026-08-06,Retail Partner Rebates,Elan Cardmember Services,August 2026 Statement Cashback Reward Credit,220.18
2026-07-16,Animal Care Supplies,Amazon,"AMAZON MKTPL*9W1DO9E83 SEATTLE WA (ref 9658, posted 2026-07-17)",219.52
2026-05-23,Equipment Lease & Maintenance,OBM,,197.27
2026-09-08,Office Supplies,,Gfs Store #0916 Monroe Mi,196.55
2026-09-02,General Shelter Supplies,Amazon,Amazon Mktpl*5q5sp86s0 Seattle Wa,177.75
2026-09-08,General Shelter Supplies,Amazon,Amazon Mktpl*538t10870 Seattle Wa,148.35
2026-07-29,Primary Care & Wellness,HERITAGE ANIMAL HOSPITAL,"HERITAGE ANIMAL HOSPIT DUNDEE MI (ref 7944, posted 2026-07-31)",110.4
2026-09-04,Office Supplies,,S&g #62 Monroe Mi,67.75
2026-09-02,Office Supplies,,S&g #62 Monroe Mi,40.0
2026-09-10,General Shelter Supplies,Amazon,Amazon Mktpl*5l1oo0161 Seattle Wa,30.52
2026-09-10,General Shelter Supplies,Amazon,Amazon Mktpl*5354z09v0 Seattle Wa,14.83
2026-06-04,Retail Partner Rebates,Elan Cardmember Services,June 2026 Statement Reward Credit,0.5
